object_id,object_name,object_kind,identifier_parameters_json,attributes_count,attributes_json,applicable_nf_json,applicable_products_json,category_path_json,description,commands_count
ACLBASICRULECNT,ACLBASICRULECNT,entity,"[""ACLNAME"", ""ACLRULENAME""]",2,"[{""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLRULENAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""VNRS功能管理"", ""IP服务"", ""ACL管理"", ""ACL规则匹配计数""]",该命令用于显示基本ACL规则的匹配计数信息。可应用于路由策略等使用场景的匹配计数信息查询。,2
ACLBASICRULECNTVERBOSE,ACLBASICRULECNTVERBOSE,entity,"[""ACLNAME"", ""ACLRULENAME""]",2,"[{""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLRULENAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""VNRS功能管理"", ""操作维护"", ""系统调测"", ""ACL""]",该命令用于查询基本ACL规则的匹配计数详细信息。可应用于路由策略等使用场景的匹配计数详细信息查询。,2
ACLBINDAPN,ACLBINDAPN,binding,"[""APN"", ""DIRECTION"", ""ACLNAME""]",4,"[{""parameter_name"": ""APN"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""DIRECTION"", ""data_type"": ""enum"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""TIMERANGENAME"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}]","[""PGW-U"", ""SGW-U"", ""UPF""]","[""UDG""]","[""用户面服务管理"", ""业务安全防护"", ""用户ACL管理"", ""ACL绑定APN""]",该命令用于增加对于APN，数据流四个方向的ACL绑定规则的配置。,4
ACLDEFAULT,ACLDEFAULT,entity,"[""DIRECTION"", ""ACLNAME""]",2,"[{""parameter_name"": ""DIRECTION"", ""data_type"": ""enum"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]","[""PGW-U"", ""SGW-U"", ""UPF""]","[""UDG""]","[""用户面服务管理"", ""业务安全防护"", ""用户ACL管理"", ""缺省ACL绑定""]",该命令用于增加默认的ACL。默认ACL是在APN下没有配置任何ACL时，如果APN需要使用ACL，则会使用默认ACL。,4
ACLETHRULECNT,ACLETHRULECNT,entity,"[""ACLNAME"", ""ACLRULENAME""]",2,"[{""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLRULENAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""VNRS功能管理"", ""IP服务"", ""ACL管理"", ""ACL规则匹配计数""]",该命令用于显示以太ACL规则的匹配计数信息。,2
ACLETHRULECNTVERBOSE,ACLETHRULECNTVERBOSE,entity,"[""ACLNAME"", ""ACLRULENAME""]",2,"[{""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLRULENAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""VNRS功能管理"", ""操作维护"", ""系统调测"", ""ACL""]",该命令用于查询以太ACL规则的匹配计数详细信息。,2
ACLGROUP,ACLGROUP,group,"[""ACLNAME""]",5,"[{""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLSTEP"", ""data_type"": ""integer"", ""required_mode"": ""optional"", ""default_value"": ""5"", ""condition"": """"}, {""parameter_name"": ""ACLTYPE"", ""data_type"": ""enum"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLMATCHORDER"", ""data_type"": ""enum"", ""required_mode"": ""optional"", ""default_value"": ""Config"", ""condition"": """"}, {""parameter_name"": ""ACLDESCRIPTION"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""VNRS功能管理"", ""IP服务"", ""ACL管理"", ""ACL规则匹配计数""]",该命令用于增加ACL规则组。ACL是一种IP包过滤技术，通过对IP报文的源地址/通配位、报文目的地址/通配位、协议号、源端口号、目的端口号（上述5个字段一般称为五元组，其中源端口号和目的端口号只对TCP和UDP协议有作用）等信息对照ACL规则进行匹配，符合某一规则集合的数据包视为同一数据流，将按照ACL规则集合中规定的动作采取相同的处理策略，其动作包括允许（Permit）、拒绝（Deny）等。使用ACL技术时，需要先配置ACL规则组。,10
ACLGROUP6,ACLGROUP6,entity,"[""ACLNAME""]",5,"[{""parameter_name"": ""ACLNAME"", ""data_type"": ""string"", ""required_mode"": ""required"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLSTEP"", ""data_type"": ""integer"", ""required_mode"": ""optional"", ""default_value"": ""5"", ""condition"": """"}, {""parameter_name"": ""ACLTYPE"", ""data_type"": ""enum"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}, {""parameter_name"": ""ACLMATCHORDER"", ""data_type"": ""enum"", ""required_mode"": ""optional"", ""default_value"": ""Config"", ""condition"": """"}, {""parameter_name"": ""ACLDESCRIPTION"", ""data_type"": ""string"", ""required_mode"": ""optional"", ""default_value"": ""无"", ""condition"": """"}]",[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""VNRS功能管理"", ""IP服务"", ""ACL管理"", ""IPv6 ACL规则匹配计数""]",该命令用于增加IPv6 ACL规则组。ACL是一种IP包过滤技术，通过对IPv6报文的源地址/通配位、报文目的地址/通配位、协议号、源端口号、目的端口号（上述5个字段一般称为五元组，其中源端口号和目的端口号只对TCP和UDP协议有作用）等信息对照ACL规则进行匹配，符合某一规则集合的数据包视为同一数据流，将按照ACL规则集合中规定的动作采取相同的处理策略，其动作包括允许（Permit）、拒绝（Deny）等。使用ACL技术时，需要先配置ACL规则组。,10
ACLGROUP6IPSEC,ACLGROUP6IPSEC,entity,[],0,[],[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""IPSEC功能管理"", ""IP服务"", ""ACL管理"", ""IPv6 ACL规则组""]",,8
ACLGROUPIPSEC,ACLGROUPIPSEC,entity,[],0,[],[],"[""UDG"", ""UNC""]","[""平台服务管理"", ""IPSEC功能管理"", ""IP服务"", ""ACL管理"", ""ACL规则组""]",,8
