command_id,object_name,relation_type
UNC:LOD ACSPACKAGE,ACSPACKAGE,operates_on
UNC:RBK ACSPACKAGE,ACSPACKAGE,operates_on
UNC:ACT ACSPACKAGE,ACSPACKAGE,operates_on
UNC:DSP ACSPACKAGE,ACSPACKAGE,operates_on
UDG:RMV ACSPATCH,ACSPATCH,deletes
UDG:CLB ACSPATCH,ACSPATCH,operates_on
UNC:RMV ACSPATCH,ACSPATCH,deletes
UNC:CLB ACSPATCH,ACSPATCH,operates_on
UDG:DSP ACSPATCHDETAILINFO,ACSPATCHDETAILINFO,operates_on
UNC:DSP ACSPATCHDETAILINFO,ACSPATCHDETAILINFO,operates_on
UDG:DSP ACSPATCHINFO,ACSPATCHINFO,operates_on
UNC:DSP ACSPATCHINFO,ACSPATCHINFO,operates_on
UDG:SYN ACSPEERCFG,ACSPEERCFG,operates_on
UNC:SYN ACSPEERCFG,ACSPEERCFG,operates_on
UDG:DSP ACSRBKVER,ACSRBKVER,operates_on
UNC:DSP ACSRBKVER,ACSRBKVER,operates_on
UDG:DSP ACSSYNCINFO,ACSSYNCINFO,operates_on
UNC:DSP ACSSYNCINFO,ACSSYNCINFO,operates_on
UDG:OPR ACSUPDPRECHK,ACSUPDPRECHK,operates_on
UNC:OPR ACSUPDPRECHK,ACSUPDPRECHK,operates_on
UDG:DSP ACSUPDRUVER,ACSUPDRUVER,operates_on
UNC:DSP ACSUPDRUVER,ACSUPDRUVER,operates_on
UDG:DSP ACSUPDSTATUS,ACSUPDSTATUS,operates_on
UDG:SET ACSUPDSTATUS,ACSUPDSTATUS,sets
UNC:DSP ACSUPDSTATUS,ACSUPDSTATUS,operates_on
UNC:SET ACSUPDSTATUS,ACSUPDSTATUS,sets
UDG:DSP ACSVERSION,ACSVERSION,operates_on
UNC:DSP ACSVERSION,ACSVERSION,operates_on
UDG:DSP ACTALM,ACTALM,operates_on
UDG:LST ACTALM,ACTALM,operates_on
UNC:DSP ACTALM,ACTALM,operates_on
UNC:LST ACTALM,ACTALM,operates_on
UNC:CLR ACTIVEALARM,ACTIVEALARM,operates_on
UNC:MOD ACTRL,ACTRL,modifies
UNC:RMV ACTRL,ACTRL,deletes
UNC:ADD ACTRL,ACTRL,creates
UNC:DSP ACTRL,ACTRL,operates_on
UNC:LST ACTRL,ACTRL,operates_on
UNC:CHK ACTRL,ACTRL,operates_on
UDG:MOD ADCPARA,ADCPARA,modifies
UDG:RMV ADCPARA,ADCPARA,deletes
UDG:ADD ADCPARA,ADCPARA,creates
UDG:LST ADCPARA,ADCPARA,operates_on
UNC:MOD ADCPARA,ADCPARA,modifies
UNC:RMV ADCPARA,ADCPARA,deletes
UNC:ADD ADCPARA,ADCPARA,creates
UNC:LST ADCPARA,ADCPARA,operates_on
UDG:LST ADDRESSATTR,ADDRESSATTR,operates_on
UDG:SET ADDRESSATTR,ADDRESSATTR,sets
UNC:LST ADDRESSATTR,ADDRESSATTR,operates_on
UNC:SET ADDRESSATTR,ADDRESSATTR,sets
UNC:DSP ADDRIP,ADDRIP,operates_on
UNC:CLR ADDRIP,ADDRIP,operates_on
UNC:RMV ADDRLACGROUP,ADDRLACGROUP,deletes
UNC:ADD ADDRLACGROUP,ADDRLACGROUP,creates
UNC:LST ADDRLACGROUP,ADDRLACGROUP,operates_on
UNC:RMV ADDRLACID,ADDRLACID,deletes
UNC:ADD ADDRLACID,ADDRLACID,creates
UNC:LST ADDRLACID,ADDRLACID,operates_on
UNC:RMV ADDRN2TACID,ADDRN2TACID,deletes
UNC:ADD ADDRN2TACID,ADDRN2TACID,creates
UNC:LST ADDRN2TACID,ADDRN2TACID,operates_on
UNC:LST ADDRPARA,ADDRPARA,operates_on
UNC:SET ADDRPARA,ADDRPARA,sets
UNC:MOD ADDRPOOL,ADDRPOOL,modifies
UNC:RMV ADDRPOOL,ADDRPOOL,deletes
UNC:ADD ADDRPOOL,ADDRPOOL,creates
UNC:LST ADDRPOOL,ADDRPOOL,operates_on
UNC:LCK ADDRPOOL,ADDRPOOL,operates_on
UNC:MOD ADDRPOOLGRP,ADDRPOOLGRP,modifies
UNC:RMV ADDRPOOLGRP,ADDRPOOLGRP,deletes
UNC:ADD ADDRPOOLGRP,ADDRPOOLGRP,creates
UNC:LST ADDRPOOLGRP,ADDRPOOLGRP,operates_on
UDG:RMV ADDRPOOLSTAT,ADDRPOOLSTAT,deletes
UDG:ADD ADDRPOOLSTAT,ADDRPOOLSTAT,creates
UDG:LST ADDRPOOLSTAT,ADDRPOOLSTAT,operates_on
UNC:RMV ADDRS1TACID,ADDRS1TACID,deletes
UNC:ADD ADDRS1TACID,ADDRS1TACID,creates
UNC:LST ADDRS1TACID,ADDRS1TACID,operates_on
UNC:RMV ADDRTACGROUP,ADDRTACGROUP,deletes
UNC:ADD ADDRTACGROUP,ADDRTACGROUP,creates
UNC:LST ADDRTACGROUP,ADDRTACGROUP,operates_on
UNC:RMV ADDRUPGROUP,ADDRUPGROUP,deletes
UNC:ADD ADDRUPGROUP,ADDRUPGROUP,creates
UNC:LST ADDRUPGROUP,ADDRUPGROUP,operates_on
UDG:RMV ADRLOCWHITELST,ADRLOCWHITELST,deletes
UDG:LST ADRLOCWHITELST,ADRLOCWHITELST,operates_on
UDG:ADD ADRLOCWHITELST,ADRLOCWHITELST,creates
UDG:MOD ADVANCEDCOMMUNITYNODE,ADVANCEDCOMMUNITYNODE,modifies
UDG:RMV ADVANCEDCOMMUNITYNODE,ADVANCEDCOMMUNITYNODE,deletes
UDG:ADD ADVANCEDCOMMUNITYNODE,ADVANCEDCOMMUNITYNODE,creates
UDG:LST ADVANCEDCOMMUNITYNODE,ADVANCEDCOMMUNITYNODE,operates_on
UNC:MOD ADVANCEDCOMMUNITYNODE,ADVANCEDCOMMUNITYNODE,modifies
UNC:RMV ADVANCEDCOMMUNITYNODE,ADVANCEDCOMMUNITYNODE,deletes
UNC:ADD ADVANCEDCOMMUNITYNODE,ADVANCEDCOMMUNITYNODE,creates
UNC:LST ADVANCEDCOMMUNITYNODE,ADVANCEDCOMMUNITYNODE,operates_on
UDG:MOD ADVEXTCOMMUNITYNODE,ADVEXTCOMMUNITYNODE,modifies
UDG:RMV ADVEXTCOMMUNITYNODE,ADVEXTCOMMUNITYNODE,deletes
UDG:ADD ADVEXTCOMMUNITYNODE,ADVEXTCOMMUNITYNODE,creates
UDG:LST ADVEXTCOMMUNITYNODE,ADVEXTCOMMUNITYNODE,operates_on
UNC:MOD ADVEXTCOMMUNITYNODE,ADVEXTCOMMUNITYNODE,modifies
UNC:RMV ADVEXTCOMMUNITYNODE,ADVEXTCOMMUNITYNODE,deletes
UNC:ADD ADVEXTCOMMUNITYNODE,ADVEXTCOMMUNITYNODE,creates
UNC:LST ADVEXTCOMMUNITYNODE,ADVEXTCOMMUNITYNODE,operates_on
UDG:LST AES128,AES128,operates_on
UDG:SET AES128,AES128,sets
UDG:LST AES256,AES256,operates_on
UDG:SET AES256,AES256,sets
UDG:LOD AFDB,AFDB,operates_on
UDG:RMV AFDB,AFDB,deletes
UDG:DSP AFDB,AFDB,operates_on
UDG:RMV AFDNSCHECKTYPE,AFDNSCHECKTYPE,deletes
UDG:ADD AFDNSCHECKTYPE,AFDNSCHECKTYPE,creates
UDG:LST AFDNSCHECKTYPE,AFDNSCHECKTYPE,operates_on
UDG:RMV AFDNSCHKTPALL,AFDNSCHKTPALL,deletes
UDG:RMV AFDNSSERVER,AFDNSSERVER,deletes
UDG:ADD AFDNSSERVER,AFDNSSERVER,creates
UDG:LST AFDNSSERVER,AFDNSSERVER,operates_on
UDG:RMV AFDNSSERVERALL,AFDNSSERVERALL,deletes
UDG:RMV AFHTTPSCTCK,AFHTTPSCTCK,deletes
UDG:ADD AFHTTPSCTCK,AFHTTPSCTCK,creates
UDG:LST AFHTTPSCTCK,AFHTTPSCTCK,operates_on
UDG:LST AFMATCHCFG,AFMATCHCFG,operates_on
UDG:SET AFMATCHCFG,AFMATCHCFG,sets
UDG:DSP AFMATCHSTATIC,AFMATCHSTATIC,operates_on
UDG:CLR AFMATCHSTATIC,AFMATCHSTATIC,operates_on
UDG:MOD AFPOLICY,AFPOLICY,modifies
UDG:RMV AFPOLICY,AFPOLICY,deletes
UDG:ADD AFPOLICY,AFPOLICY,creates
UDG:LST AFPOLICY,AFPOLICY,operates_on
UDG:RMV AFPOLICYALL,AFPOLICYALL,deletes
UDG:RMV AFPROXYSERVER,AFPROXYSERVER,deletes
UDG:ADD AFPROXYSERVER,AFPROXYSERVER,creates
UDG:LST AFPROXYSERVER,AFPROXYSERVER,operates_on
UDG:RMV AFPROXYSRVALL,AFPROXYSRVALL,deletes
UDG:LST AFUSRDETECT,AFUSRDETECT,operates_on
UDG:SET AFUSRDETECT,AFUSRDETECT,sets
UDG:DSP AFUSRDETECTST,AFUSRDETECTST,operates_on
UNC:RMV AGENTIP,AGENTIP,deletes
UNC:ADD AGENTIP,AGENTIP,creates
UNC:LST AGENTIP,AGENTIP,operates_on
UNC:MOD AGFCDRCHLMAP,AGFCDRCHLMAP,modifies
UNC:RMV AGFCDRCHLMAP,AGFCDRCHLMAP,deletes
UNC:ADD AGFCDRCHLMAP,AGFCDRCHLMAP,creates
UNC:LST AGFCDRCHLMAP,AGFCDRCHLMAP,operates_on
UNC:RMV AGFCHGINFO,AGFCHGINFO,deletes
UNC:DSP AGFCHGINFO,AGFCHGINFO,operates_on
UNC:MOD AGFDISCRCACT,AGFDISCRCACT,modifies
UNC:RMV AGFDISCRCACT,AGFDISCRCACT,deletes
UNC:ADD AGFDISCRCACT,AGFDISCRCACT,creates
UNC:LST AGFDISCRCACT,AGFDISCRCACT,operates_on
UNC:LST AGFFCPARA,AGFFCPARA,operates_on
UNC:SET AGFFCPARA,AGFFCPARA,sets
UNC:LST AGFFUNCPARA,AGFFUNCPARA,operates_on
UNC:SET AGFFUNCPARA,AGFFUNCPARA,sets
UNC:LST AGFOUTFC,AGFOUTFC,operates_on
UNC:SET AGFOUTFC,AGFOUTFC,sets
UNC:DSP AGFTPSINFO,AGFTPSINFO,operates_on
UDG:MOD AGGREGATEROUTE,AGGREGATEROUTE,modifies
UDG:RMV AGGREGATEROUTE,AGGREGATEROUTE,deletes
UDG:ADD AGGREGATEROUTE,AGGREGATEROUTE,creates
UDG:LST AGGREGATEROUTE,AGGREGATEROUTE,operates_on
UNC:MOD AGGREGATEROUTE,AGGREGATEROUTE,modifies
UNC:RMV AGGREGATEROUTE,AGGREGATEROUTE,deletes
