param_id,command_name,param_identifier,enum_value,enum_label,enum_description
90a700e147,ACT SRVRECFG,SRVTYPE,SRVADDR,,服务实例地址。
90a700e147,ACT SRVRECFG,SRVTYPE,VPN,,虚拟专用网络。
90a700e147,ACT SRVRECFG,SRVTYPE,LBPLY,,通用负载均衡策略。
90a700e147,ACT SRVRECFG,SRVTYPE,NEXTHOP,,下一跳。
90a700e147,ACT SRVRECFG,SRVTYPE,LBPLYEX,,扩展负载均衡策略。
90a700e147,ACT SRVRECFG,SRVTYPE,NEXTHOPEX,,扩展下一跳。
90a700e147,ACT SRVRECFG,SRVTYPE,EXCHANGE,,交换表。
90a700e147,ACT SRVRECFG,SRVTYPE,MISSACT,,默认动作。当负载均衡策略匹配失败时，按照缺省动作执行。
ee0a55b057,SET IPSECURITYSWITCH,IPV4OPTION,S,,
e7d50d7dba,SET IPSECURITYSWITCH,IPV6EXTENSION,S,,
928b3c9384,ACT LBPLYAGING,DATATYPE,L,,
928b3c9384,ACT LBPLYAGING,DATATYPE,N,,
928b3c9384,ACT LBPLYAGING,DATATYPE,S,,
928b3c9384,ACT LBPLYAGING,DATATYPE,S,,
98b6c2b188,SET LBTNIPINIPSWITCH,SWFLAG,S,,
1ef97168b0,SET FWDFCPARA,FCTYPE,IPS_DETECT,,对IPS主动探测报文的流控；
1ef97168b0,SET FWDFCPARA,FCTYPE,TCP_SYN,,对TCP协议SYN报文的流控；
9ae52b19fd,SET HTTPMEMFC,MEMFCSWITCH,T,,
9ae52b19fd,SET HTTPMEMFC,MEMFCSWITCH,F,,
cd78aaf275,SET HTTPFCCONF,CFGTYPE,R,,
cd78aaf275,SET HTTPFCCONF,CFGTYPE,M,,
cd78aaf275,SET HTTPFCCONF,CFGTYPE,T,,
cd78aaf275,SET HTTPFCCONF,CFGTYPE,T,,
062b1b5e7d,ADD HTTPFIXEDFC,GROUPTYPE,S,,
062b1b5e7d,ADD HTTPFIXEDFC,GROUPTYPE,C,,
df12a8e639,MOD HTTPSTATUS,SCENE,E,,
4f7e6719fe,ADD HTTPSTATUS,SCENE,E,,
9251f2daad,SET HTTPINFORPT,HTTPLNKINFOLST,H,,
db9e0ceef1,SET CERTUPDATPARA,ACTIVEOLDLINK,T,,
db9e0ceef1,SET CERTUPDATPARA,ACTIVEOLDLINK,F,,
aebec6e325,SET HTTPCONF,SIGNALROUTING,T,,
aebec6e325,SET HTTPCONF,SIGNALROUTING,F,,
0f5d3641ad,SET HTTPCONF,PINGSWITCH,T,,
0f5d3641ad,SET HTTPCONF,PINGSWITCH,F,,
a2aa924c7e,DSP TLBDATA,DATATYPE,L,,
a2aa924c7e,DSP TLBDATA,DATATYPE,S,,
a2aa924c7e,DSP TLBDATA,DATATYPE,S,,
d6031f53aa,SET TLBGLBCONF,TLBGLBSW,O,,
d6031f53aa,SET TLBGLBCONF,TLBGLBSW,O,,
b88b96128c,SET TLBGLBCONF,LBTYPE,L,,
4e9afa6b05,SET TLBGLBCONF,TUPLECHKSW,O,,
4e9afa6b05,SET TLBGLBCONF,TUPLECHKSW,O,,
a93ce3d2e7,MOD HTTPLE,RFLAG,T,,
a93ce3d2e7,MOD HTTPLE,RFLAG,F,,
72c6f9c6b7,ADD HTTPLE,RFLAG,T,,
72c6f9c6b7,ADD HTTPLE,RFLAG,F,,
4e013b4aad,MOD SBILINKSETPROP,NFIPWITHSRVPORT,T,,
4e013b4aad,MOD SBILINKSETPROP,NFIPWITHSRVPORT,F,,
4396d71980,ADD SBILINKSETPROP,NFIPWITHSRVPORT,T,,
4396d71980,ADD SBILINKSETPROP,NFIPWITHSRVPORT,F,,
e4f7370dd9,SET SBILINKSETCFG,FQDNCHECKSWITCH,O,,
e4f7370dd9,SET SBILINKSETCFG,FQDNCHECKSWITCH,O,,
a3baf8ecd4,MOD TWAMPSENDER,MODE,C,,
4e495f6175,MOD TWAMPSENDER,PKTSIZETYPE,F,,
4e495f6175,MOD TWAMPSENDER,PKTSIZETYPE,R,,
84bcdd793f,MOD TWAMPSENDER,PADDINGTYPE,P,,
84bcdd793f,MOD TWAMPSENDER,PADDINGTYPE,P,,
6e1c30c753,ADD TWAMPSENDER,MODE,C,,
380c2a8a50,ADD TWAMPSENDER,PKTSIZETYPE,F,,
380c2a8a50,ADD TWAMPSENDER,PKTSIZETYPE,R,,
b9908e59de,ADD TWAMPSENDER,PADDINGTYPE,P,,
b9908e59de,ADD TWAMPSENDER,PADDINGTYPE,P,,
030e7a76c6,MOD TWAMPRESPONDER,AFTYPE,I,,
ea8fe4e084,MOD TWAMPRESPONDER,TWAMPARCH,F,,
dc8e266ab5,ADD TWAMPRESPONDER,AFTYPE,I,,
eb9013aad8,ADD TWAMPRESPONDER,TWAMPARCH,F,,
c63f76d78d,MOD TWAMPCLIENT,TWAMPARCH,L,,
74a20a2e0a,MOD TWAMPCLIENT,AFTYPE,I,,
ae82b42491,ADD TWAMPCLIENT,TWAMPARCH,L,,
4a4526beaf,ADD TWAMPCLIENT,AFTYPE,I,,
d3dd628534,SET TWAMPFLOWCTLCFG,FCSWITCH,O,,
d3dd628534,SET TWAMPFLOWCTLCFG,FCSWITCH,C,,
2aa4afc86c,MOD TWAMPLOGICINF,AFTYPE,I,,
f58de0c660,MOD TWAMPLOGICINF,SHAREDTYPE,T,,
