product,feature_id,category,feature_dir,doc_name,has_task_example,has_operation_steps,has_operation_flow,doc_path
UNC,WSFD-011306,组网功能,WSFD-011306 Radius功能/激活RADIUS功能,配置到AAA Server的数据（带外组网GRE VPN）_32050904,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-011306 Radius功能\激活RADIUS功能\配置到AAA Server的数据（带外组网GRE VPN）_32050904.md
UNC,WSFD-104004,组网功能,WSFD-104004 IPv6前缀代理/实现原理,5GC业务流程_59334341,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104004 IPv6前缀代理\实现原理\5GC业务流程_59334341.md
UNC,WSFD-104004,组网功能,WSFD-104004 IPv6前缀代理/实现原理,EPC业务流程_59374325,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104004 IPv6前缀代理\实现原理\EPC业务流程_59374325.md
UNC,WSFD-104004,组网功能,WSFD-104004 IPv6前缀代理/实现原理,GPRS_UMTS业务流程_14374504,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104004 IPv6前缀代理\实现原理\GPRS_UMTS业务流程_14374504.md
UNC,WSFD-104402,组网功能,WSFD-104402 eNodeB SON信息传送功能/实现原理,EN-DC SON组网场景实现原理_14454513,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104402 eNodeB SON信息传送功能\实现原理\EN-DC SON组网场景实现原理_14454513.md
UNC,WSFD-104402,组网功能,WSFD-104402 eNodeB SON信息传送功能/实现原理,SON组网场景实现原理_66292213,False,False,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104402 eNodeB SON信息传送功能\实现原理\SON组网场景实现原理_66292213.md
UNC,WSFD-104402,组网功能,WSFD-104402 eNodeB SON信息传送功能/激活信息传送功能,激活 EN-DC SON信息传送功能_64014514,True,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104402 eNodeB SON信息传送功能\激活信息传送功能\激活 EN-DC SON信息传送功能_64014514.md
UNC,WSFD-104402,组网功能,WSFD-104402 eNodeB SON信息传送功能/激活信息传送功能,激活eNodeB SON信息传送功能_66313820,False,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104402 eNodeB SON信息传送功能\激活信息传送功能\激活eNodeB SON信息传送功能_66313820.md
UNC,WSFD-104402,组网功能,WSFD-104402 eNodeB SON信息传送功能/调测信息传送功能,调测EN-DC SON信息传送功能_14694133,False,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104402 eNodeB SON信息传送功能\调测信息传送功能\调测EN-DC SON信息传送功能_14694133.md
UNC,WSFD-104402,组网功能,WSFD-104402 eNodeB SON信息传送功能/调测信息传送功能,调测eNodeB SON信息传送功能_66313821,False,True,False,output\UNC 20.15.2 产品文档(裸机容器) 05\网络部署\特性部署\UNC特性指南\组网功能\WSFD-104402 eNodeB SON信息传送功能\调测信息传送功能\调测eNodeB SON信息传送功能_66313821.md
